study_name,dataset_name,variable_name,concept_name
soep-base,h2008,welle,welle
soep-base,h2008,sample1,sample1
soep-base,h2008,hhnrakt,hhnrakt
soep-base,h2008,yausku,yausku
soep-base,h2008,yh0201,yh0201
soep-base,h2008,yh0202,yh0202
soep-base,h2008,yh0203,yh0203
soep-base,h2008,yh0204,yh0204
soep-base,h2008,yh0205,yh0205
soep-base,h2008,yh0206,yh0206
soep-base,h2008,yh0207,yh0207
soep-base,h2008,yh0208,yh0208
soep-base,h2008,yh0209,yh0209
soep-base,h2008,yh0210,yh0210
soep-base,h2008,yh0211,yh0211
soep-base,h2008,yh0212,yh0212
soep-base,h2008,yh0213,yh0213
soep-base,h2008,yh0214,yh0214
soep-base,h2008,yh0215,yh0215
soep-base,h2008,yh0301,yh0301
soep-base,h2008,yh0302,yh0302
soep-base,h2008,yh0303,yh0303
soep-base,h2008,yh0304,yh0304
soep-base,h2008,yh0305,yh0305
soep-base,h2008,yh0306,yh0306
soep-base,h2008,yh0307,yh0307
soep-base,h2008,yh0401,yh0401
soep-base,h2008,yh0402,yh0402
soep-base,h2008,yh05,yh05
soep-base,h2008,yh06,yh06
soep-base,h2008,yh07,yh07
soep-base,h2008,yh0801,yh0801
soep-base,h2008,yh0802,yh0802
soep-base,h2008,yh09,yh09
soep-base,h2008,yh10,yh10
soep-base,h2008,yh11,yh11
soep-base,h2008,yh12,yh12
soep-base,h2008,yh13,yh13
soep-base,h2008,yh1401,yh1401
soep-base,h2008,yh1402,yh1402
soep-base,h2008,yh1403,yh1403
soep-base,h2008,yh1404,yh1404
soep-base,h2008,yh1405,yh1405
soep-base,h2008,yh1406,yh1406
soep-base,h2008,yh1407,yh1407
soep-base,h2008,yh1408,yh1408
soep-base,h2008,yh1409,yh1409
soep-base,h2008,yh1410,yh1410
soep-base,h2008,yh1411,yh1411
soep-base,h2008,yh1501,yh1501
soep-base,h2008,yh1502,yh1502
soep-base,h2008,yh1503,yh1503
soep-base,h2008,yh1504,yh1504
soep-base,h2008,yh1505,yh1505
soep-base,h2008,yh1506,yh1506
soep-base,h2008,yh16,yh16
soep-base,h2008,yh17,yh17
soep-base,h2008,yh18,yh18
soep-base,h2008,yh1901,yh1901
soep-base,h2008,yh1902,yh1902
soep-base,h2008,yh1903,yh1903
soep-base,h2008,yh20,yh20
soep-base,h2008,yh21,yh21
soep-base,h2008,yh22,yh22
soep-base,h2008,yh2301,yh2301
soep-base,h2008,yh2302,yh2302
soep-base,h2008,yh24,yh24
soep-base,h2008,yh25,yh25
soep-base,h2008,yh2601,yh2601
soep-base,h2008,yh2602,yh2602
soep-base,h2008,yh2603,yh2603
soep-base,h2008,yh2604,yh2604
soep-base,h2008,yh27,yh27
soep-base,h2008,yh28,yh28
soep-base,h2008,yh29,yh29
soep-base,h2008,yh30,yh30
soep-base,h2008,yh31,yh31
soep-base,h2008,yh32,yh32
soep-base,h2008,yh33,yh33
soep-base,h2008,yh3401,yh3401
soep-base,h2008,yh3402,yh3402
soep-base,h2008,yh35,yh35
soep-base,h2008,yh3601,yh3601
soep-base,h2008,yh3602,yh3602
soep-base,h2008,yh3701,yh3701
soep-base,h2008,yh3702,yh3702
soep-base,h2008,yh38,yh38
soep-base,h2008,yh39,yh39
soep-base,h2008,yh4001,yh4001
soep-base,h2008,yh4002,yh4002
soep-base,h2008,yh4101,yh4101
soep-base,h2008,yh4102,yh4102
soep-base,h2008,yh42,yh42
soep-base,h2008,yh43,yh43
soep-base,h2008,yh44,yh44
soep-base,h2008,yh4501,yh4501
soep-base,h2008,yh4502,yh4502
soep-base,h2008,yh4503,yh4503
soep-base,h2008,yh4504,yh4504
soep-base,h2008,yh4505,yh4505
soep-base,h2008,yh4506,yh4506
soep-base,h2008,yh4507,yh4507
soep-base,h2008,yh4508,yh4508
soep-base,h2008,yh4509,yh4509
soep-base,h2008,yh4510,yh4510
soep-base,h2008,yh4601,yh4601
soep-base,h2008,yh4602,yh4602
soep-base,h2008,yh4701,yh4701
soep-base,h2008,yh4702,yh4702
soep-base,h2008,yh4703,yh4703
soep-base,h2008,yh4704,yh4704
soep-base,h2008,yh4705,yh4705
soep-base,h2008,yh48,yh48
soep-base,h2008,yh4901,yh4901
soep-base,h2008,yh4902,yh4902
soep-base,h2008,yh4903,yh4903
soep-base,h2008,yh4904,yh4904
soep-base,h2008,yh4905,yh4905
soep-base,h2008,yh4906,yh4906
soep-base,h2008,yh4907,yh4907
soep-base,h2008,yh4908,yh4908
soep-base,h2008,yh4909,yh4909
soep-base,h2008,yh4910,yh4910
soep-base,h2008,yh4911,yh4911
soep-base,h2008,yh4912,yh4912
soep-base,h2008,yh4913,yh4913
soep-base,h2008,yh5001,yh5001
soep-base,h2008,yh5002,yh5002
soep-base,h2008,yh5003,yh5003
soep-base,h2008,yh5004,yh5004
soep-base,h2008,yh5005,yh5005
soep-base,h2008,yh5006,yh5006
soep-base,h2008,yh5007,yh5007
soep-base,h2008,yh5008,yh5008
soep-base,h2008,yh5009,yh5009
soep-base,h2008,yh5010,yh5010
soep-base,h2008,yh5011,yh5011
soep-base,h2008,yh5101,yh5101
soep-base,h2008,yh5102,yh5102
soep-base,h2008,yh5103,yh5103
soep-base,h2008,yh5104,yh5104
soep-base,h2008,yh5105,yh5105
soep-base,h2008,yh5106,yh5106
soep-base,h2008,yh5107,yh5107
soep-base,h2008,yh5108,yh5108
soep-base,h2008,yh5109,yh5109
soep-base,h2008,yh5110,yh5110
soep-base,h2008,yh5111,yh5111
soep-base,h2008,yh5112,yh5112
soep-base,h2008,yh5113,yh5113
soep-base,h2008,yh5114,yh5114
soep-base,h2008,yh5201,yh5201
soep-base,h2008,yh5202,yh5202
soep-base,h2008,yh5301,yh5301
soep-base,h2008,yh5302,yh5302
soep-base,h2008,yh5401,yh5401
soep-base,h2008,yh5402,yh5402
soep-base,h2008,yh5403,yh5403
soep-base,h2008,yh5404,yh5404
soep-base,h2008,yh5405,yh5405
soep-base,h2008,yh5406,yh5406
soep-base,h2008,yh5407,yh5407
soep-base,h2008,yh5408,yh5408
soep-base,h2008,yh5409,yh5409
soep-base,h2008,yh5410,yh5410
soep-base,h2008,yh5411,yh5411
soep-base,h2008,yh5412,yh5412
soep-base,h2008,yh5413,yh5413
soep-base,h2008,yh5414,yh5414
soep-base,h2008,yh5415,yh5415
soep-base,h2008,yh5416,yh5416
soep-base,h2008,yh5417,yh5417
soep-base,h2008,yh5418,yh5418
soep-base,h2008,yh5419,yh5419
soep-base,h2008,yh5420,yh5420
soep-base,h2008,yh5421,yh5421
soep-base,h2008,yh5422,yh5422
soep-base,h2008,yh5423,yh5423
soep-base,h2008,yh5424,yh5424
soep-base,h2008,yh5425,yh5425
soep-base,h2008,yh5426,yh5426
soep-base,h2008,yh5427,yh5427
soep-base,h2008,yh5428,yh5428
soep-base,h2008,yh5429,yh5429
soep-base,h2008,yh5430,yh5430
soep-base,h2008,yh5431,yh5431
soep-base,h2008,yh5432,yh5432
soep-base,h2008,yh55,yh55
soep-base,h2008,yh56,yh56
soep-base,h2008,yh5701,yh5701
soep-base,h2008,yh5702,yh5702
soep-base,h2008,yh5703,yh5703
soep-base,h2008,yh5704,yh5704
soep-base,h2008,yh5705,yh5705
soep-base,h2008,yh5706,yh5706
soep-base,h2008,yh5801,yh5801
soep-base,h2008,yh5802,yh5802
soep-base,h2008,yh5901,yh5901
soep-base,h2008,yh5902,yh5902
soep-base,h2008,yh5903,yh5903
soep-base,h2008,yh5904,yh5904
soep-base,h2008,yh5905,yh5905
soep-base,h2008,yh5906,yh5906
soep-base,h2008,yh5907,yh5907
soep-base,h2008,yh5908,yh5908
soep-base,h2008,yh5909,yh5909
soep-base,h2008,yh60,yh60
soep-base,h2008,yh61,yh61
soep-base,h2008,yhivform,yhivform
soep-base,h2008,yhhdaer1,yhhdaer1
soep-base,h2008,yhhdaer2,yhhdaer2
soep-base,h2008,yhhtagin,yhhtagin
soep-base,h2008,yhhmonin,yhhmonin
soep-base,h2008,yhintnr,yhintnr
soep-base,h2008,yhpmax,yhpmax
soep-base,h2008,hhnr,hhnr
soep-base,h2009,welle,welle
soep-base,h2009,sample1,sample1
soep-base,h2009,zhhnr,zhhnr
soep-base,h2009,zausku,zausku
soep-base,h2009,zh01,zh01
soep-base,h2009,zh0201,zh0201
soep-base,h2009,zh0202,zh0202
soep-base,h2009,zh0203,zh0203
soep-base,h2009,zh0204,zh0204
soep-base,h2009,zh0205,zh0205
soep-base,h2009,zh0206,zh0206
soep-base,h2009,zh0207,zh0207
soep-base,h2009,zh0208,zh0208
soep-base,h2009,zh0209,zh0209
soep-base,h2009,zh0210,zh0210
soep-base,h2009,zh0211,zh0211
soep-base,h2009,zh0212,zh0212
soep-base,h2009,zh0213,zh0213
soep-base,h2009,zh0214,zh0214
soep-base,h2009,zh0215,zh0215
soep-base,h2009,zh0216,zh0216
soep-base,h2009,zh0217,zh0217
soep-base,h2009,zh0301,zh0301
soep-base,h2009,zh0302,zh0302
soep-base,h2009,zh0303,zh0303
soep-base,h2009,zh0304,zh0304
soep-base,h2009,zh0305,zh0305
soep-base,h2009,zh0306,zh0306
soep-base,h2009,zh0307,zh0307
soep-base,h2009,zh0401,zh0401
soep-base,h2009,zh0402,zh0402
soep-base,h2009,zh05,zh05
soep-base,h2009,zh06,zh06
soep-base,h2009,zh07,zh07
soep-base,h2009,zh0801,zh0801
soep-base,h2009,zh0802,zh0802
soep-base,h2009,zh09,zh09
soep-base,h2009,zh10,zh10
soep-base,h2009,zh11,zh11
soep-base,h2009,zh12,zh12
soep-base,h2009,zh13,zh13
soep-base,h2009,zh1401,zh1401
soep-base,h2009,zh1402,zh1402
soep-base,h2009,zh1403,zh1403
soep-base,h2009,zh1404,zh1404
soep-base,h2009,zh1405,zh1405
soep-base,h2009,zh1406,zh1406
soep-base,h2009,zh1407,zh1407
soep-base,h2009,zh1408,zh1408
soep-base,h2009,zh1409,zh1409
soep-base,h2009,zh1410,zh1410
soep-base,h2009,zh1411,zh1411
soep-base,h2009,zh1412,zh1412
soep-base,h2009,zh1413,zh1413
soep-base,h2009,zh1501,zh1501
soep-base,h2009,zh1502,zh1502
soep-base,h2009,zh1503,zh1503
soep-base,h2009,zh1504,zh1504
soep-base,h2009,zh1505,zh1505
soep-base,h2009,zh1506,zh1506
soep-base,h2009,zh1507,zh1507
soep-base,h2009,zh1508,zh1508
soep-base,h2009,zh16,zh16
soep-base,h2009,zh17,zh17
soep-base,h2009,zh18,zh18
soep-base,h2009,zh1901,zh1901
soep-base,h2009,zh1902,zh1902
soep-base,h2009,zh1903,zh1903
soep-base,h2009,zh20,zh20
soep-base,h2009,zh21,zh21
soep-base,h2009,zh22,zh22
soep-base,h2009,zh2301,zh2301
soep-base,h2009,zh2302,zh2302
soep-base,h2009,zh24,zh24
soep-base,h2009,zh25,zh25
soep-base,h2009,zh2601,zh2601
soep-base,h2009,zh2602,zh2602
soep-base,h2009,zh2603,zh2603
soep-base,h2009,zh2604,zh2604
soep-base,h2009,zh27,zh27
soep-base,h2009,zh28,zh28
soep-base,h2009,zh29,zh29
soep-base,h2009,zh30,zh30
soep-base,h2009,zh31,zh31
soep-base,h2009,zh32,zh32
soep-base,h2009,zh33,zh33
soep-base,h2009,zh3401,zh3401
soep-base,h2009,zh3402,zh3402
soep-base,h2009,zh35,zh35
soep-base,h2009,zh3601,zh3601
soep-base,h2009,zh3602,zh3602
soep-base,h2009,zh3701,zh3701
soep-base,h2009,zh3702,zh3702
soep-base,h2009,zh38,zh38
