study,name,label,label_de,description,description_de
soep-base,bleib,,,,
soep-base,dauer,,,,
soep-base,fkgew,,,,
soep-base,fkstil01,,,,
soep-base,fkstil02,,,,
soep-base,hakt01a,,,,
soep-base,hakt01b,,,,
soep-base,hakt01c,,,,
soep-base,hakt01d,,,,
soep-base,hakt02a,,,,
soep-base,hakt02b,,,,
soep-base,hakt02c,,,,
soep-base,hakt02d,,,,
soep-base,hakt03a,,,,
soep-base,hakt03b,,,,
soep-base,hakt03c,,,,
soep-base,hakt03d,,,,
soep-base,hakt04a,,,,
soep-base,hakt04b,,,,
soep-base,hakt04c,,,,
soep-base,hakt04d,,,,
soep-base,hakt05a,,,,
soep-base,hakt05b,,,,
soep-base,hakt05c,,,,
soep-base,hakt05d,,,,
soep-base,hakt06a,,,,
soep-base,hakt06b,,,,
soep-base,hakt06c,,,,
soep-base,hakt06d,,,,
soep-base,hakt07a,,,,
soep-base,hakt07b,,,,
soep-base,hakt07c,,,,
soep-base,hakt07d,,,,
soep-base,hakt08a,,,,
soep-base,hakt08b,,,,
soep-base,hakt08c,,,,
soep-base,hakt08d,,,,
soep-base,hakt09a,,,,
soep-base,hakt09b,,,,
soep-base,hakt09c,,,,
soep-base,hakt09d,,,,
soep-base,hakt10a,,,,
soep-base,hakt10b,,,,
soep-base,hakt10c,,,,
soep-base,hakt10d,,,,
soep-base,hakt11a,,,,
soep-base,hakt11b,,,,
soep-base,hakt11c,,,,
soep-base,hakt11d,,,,
soep-base,hakt12a,,,,
soep-base,hakt12b,,,,
soep-base,hakt12c,,,,
soep-base,hakt12d,,,,
soep-base,hakt13a,,,,
soep-base,hakt13b,,,,
soep-base,hakt13c,,,,
soep-base,hakt13d,,,,
soep-base,hakt14a,,,,
soep-base,hakt14b,,,,
soep-base,hakt14c,,,,
soep-base,hakt14d,,,,
soep-base,hakt15a,,,,
soep-base,hakt15b,,,,
soep-base,hakt15c,,,,
soep-base,hakt15d,,,,
soep-base,hakt16a,,,,
soep-base,hakt16b,,,,
soep-base,hakt16c,,,,
soep-base,hakt16d,,,,
soep-base,hakt17a,,,,
soep-base,hakt17b,,,,
soep-base,hakt17c,,,,
soep-base,hakt17d,,,,
soep-base,hakt18a,,,,
soep-base,hakt18b,,,,
soep-base,hakt18c,,,,
soep-base,hakt18d,,,,
soep-base,hakt19a,,,,
soep-base,hakt19b,,,,
soep-base,hakt19c,,,,
soep-base,hakt19d,,,,
soep-base,haus01a,,,,
soep-base,haus01b,,,,
soep-base,haus01c,,,,
soep-base,haus01ka,,,,
soep-base,haus02a,,,,
soep-base,haus02b,,,,
soep-base,haus02c,,,,
soep-base,haus02ka,,,,
soep-base,haus03a,,,,
soep-base,haus03b,,,,
soep-base,haus03c,,,,
soep-base,haus03ka,,,,
soep-base,haus04a,,,,
soep-base,haus04b,,,,
soep-base,haus04c,,,,
soep-base,haus04ka,,,,
soep-base,haus05a,,,,
soep-base,haus05b,,,,
soep-base,haus05c,,,,
soep-base,haus05ka,,,,
soep-base,haus06a,,,,
soep-base,haus06b,,,,
soep-base,haus06c,,,,
soep-base,haus06ka,,,,
soep-base,haus07a,,,,
soep-base,haus07b,,,,
soep-base,haus07c,,,,
soep-base,haus07ka,,,,
soep-base,haus08a,,,,
soep-base,haus08b,,,,
soep-base,haus08c,,,,
soep-base,haus08ka,,,,
soep-base,haus09a,,,,
soep-base,haus09b,,,,
soep-base,haus09c,,,,
soep-base,haus09ka,,,,
